Label,FullLabelName,MajorCategory,MorphoFunctionalGroup
acrarb,Acropora_arborescent,Scleractinian,Scleractinian_arborescent
acrbus,Acropora (bushy),Scleractinian,Scleractinian_bushy
acrenc,Acropora_encrusting,Scleractinian,Scleractinian_encrusting
acrtab,Acropora_tabular,Scleractinian,Scleractinian_tabular
ampart,Amphiroa_articulated_calcareous,Macroalgae,Macroalgae_articulated_calcareous
ascere,Ascidian_erect_single,Ascidian,Ascidian_erectsingle
aspcom,Asparagopsis_corticated_macrophyte,Macroalgae,Macroalgae_corticated_macrophyte
astclu,Asterospicularia_clustered,Octocoral,Octocoral_clustered
astmas,Astreopora_massive,Scleractinian,Scleractinian_massive
boulss,boulder_stable_substrate,Stable substrate,Stable substrate
brienc,Briareum_encrusting,Octocoral,Octocoral_encrusting
brocof,Brown_algae_corticated_foliose,Macroalgae,Macroalgae_corticated_foliose
capbus,Capnella_bushy,Octocoral,Octocoral_bushy
crioth,Crinoidae_other_life,Other mobile invertebrates,Other mobile invertebrates
cyafil,Cyanobacteria_filamentous,Cyanobacteria,Cyanobacteria_filamentous
ecofol,Echinopora_foliose,Scleractinian,Scleractinian_foliose
gravus,gravel/small rubble_unstable_substrate,Unstable substrate,Unstable substrate
ispcol,Isopora_column,Scleractinian,Scleractinian_columnar
junwhi,Junceella_whip,Octocoral,Octocoral_whip
loodig,Lobophytum_digitate,Octocoral,Octocoral_digitate
loolob,Lobophytum_lobate,Octocoral,Octocoral_lobate
melfan,Melithaeidae_fan,Octocoral,Octocoral_fan
milarb,Millepora_arborescent,Hydrozoan,Hydrozoan_arborescent
milbus,Millepora_bushy,Hydrozoan,Hydrozoan_bushy
milenc,Millepora_encrusting,Hydrozoan,Hydrozoan_encrusting
othcca,Others_cca,CCA,CCA
palenc,Palythoa_encrusting,Zoanthid,Zoanthid_encrusting
palmas,Palythoa_massive,Zoanthid,Zoanthid_massive
redfil,Red_Filamentous_Algae,Macroalgae,Macroalgae_Filamentous_Algae
rumarb,Rumphella_arborescent,Octocoral,Octocoral_arborescent
sarmas,Sarcophyton_massive,Octocoral,Octocoral_massive
spoenc,Sponge_encrusting,Sponge,Sponge_encrusting
spomas,Sponge_massive,Sponge,Sponge_massive
sporep,Sponge_repent_branching,Sponge,Sponge_branching
turfil,Turf_filamentous,Turf,Turf_Turf